year,ikt_ID,jkt_ID,ijkt_ID,exposure,count
2002,1,84,1,420,0
2002,1,206,3,456,4
2002,1,297,5,358,1
2002,1,409,7,456,2
2002,1,597,9,429,1
2002,1,627,11,458,2
2002,1,685,13,182,1
2002,1,702,14,438,1
2002,1,982,16,387,1
2002,1,1035,18,419,2
2002,84,206,645,365,2
2002,84,297,660,250,0
2002,84,409,676,356,0
2002,84,597,690,326,1
2002,84,627,692,345,1
2002,84,685,704,128,0
2002,84,702,705,336,1
2002,84,982,729,287,0
2002,84,1035,750,325,0
2002,206,297,1265,293,0
2002,206,409,1277,392,1
2002,206,597,1283,368,0
2002,206,627,1285,384,2
2002,206,685,1299,129,0
2002,206,702,1300,370,2
2002,206,982,1316,333,0
2002,206,1035,1331,349,11
2002,297,409,1721,286,0
2002,297,597,1732,256,0
2002,297,627,1739,282,0
2002,297,685,1741,85,0
2002,297,702,1742,263,0
2002,297,982,1744,221,0
2002,297,1035,1748,256,1
2002,409,597,2324,354,4
2002,409,627,2332,385,0
2002,409,685,2334,133,0
2002,409,702,2335,365,1
2002,409,982,2337,323,0
2002,409,1035,2341,357,0
2002,597,627,3044,359,1
2002,597,685,3046,135,0
2002,597,702,3047,336,2
2002,597,982,3052,297,0
2002,597,1035,3059,325,0
2002,627,685,3080,127,0
2002,627,702,3081,357,0
2002,627,982,3089,320,0
2002,627,1035,3096,345,2
2002,685,702,3292,117,0
2002,685,982,3293,100,0
2002,685,1035,3294,118,0
2002,702,982,3348,294,0
2002,702,1035,3365,325,1
2002,982,1035,3835,292,0
2003,2,85,2,71,0
2003,2,207,4,62,0
2003,2,298,6,63,0
2003,2,410,8,63,0
2003,2,598,10,63,0
2003,2,628,12,68,0
2003,2,703,15,75,0
2003,2,983,17,65,0
2003,2,1036,19,69,0
2003,85,207,646,145,2
2003,85,298,661,92,0
2003,85,410,677,87,0
2003,85,598,691,113,0
2003,85,628,693,172,0
2003,85,703,706,173,0
2003,85,983,730,127,0
2003,85,1036,751,154,0
2003,207,298,1266,90,0
2003,207,410,1278,92,0
2003,207,598,1284,114,0
2003,207,628,1286,176,1
2003,207,703,1301,177,0
2003,207,983,1317,134,0
2003,207,1036,1332,156,4
2003,298,410,1722,77,0
2003,298,598,1733,98,0
2003,298,628,1740,112,0
2003,298,703,1743,118,0
2003,298,983,1745,118,0
2003,298,1036,1749,98,0
2003,410,598,2325,104,0
2003,410,628,2333,108,0
2003,410,703,2336,116,0
2003,410,983,2338,111,1
2003,410,1036,2342,94,0
2003,598,628,3045,136,0
2003,598,703,3048,135,1
2003,598,983,3053,134,0
2003,598,1036,3060,116,0
2003,628,703,3082,199,0
2003,628,983,3090,156,0
2003,628,1036,3097,176,0
2003,703,983,3349,156,0
2003,703,1036,3366,181,0
2003,983,1036,3836,139,0
2004,86,123,635,552,5
2004,86,208,647,379,3
2004,86,331,662,481,6
2004,86,629,694,409,0
2004,86,704,707,421,4
2004,86,1037,752,430,0
2004,123,208,851,502,8
2004,123,331,854,598,7
2004,123,629,857,518,12
2004,123,704,860,551,2
2004,123,1037,864,528,7
2004,208,331,1267,432,3
2004,208,629,1287,357,4
2004,208,704,1302,382,2
2004,208,1037,1333,388,0
2004,331,629,1908,462,6
2004,331,704,1941,486,5
2004,331,1037,1982,475,2
2004,629,704,3083,407,2
2004,629,1037,3098,406,0
2004,704,1037,3367,433,0
2005,87,124,636,496,2
2005,87,209,648,378,0
2005,87,332,663,440,0
2005,87,630,695,397,2
2005,87,705,708,421,0
2005,87,1038,753,507,0
2005,124,209,852,463,3
2005,124,332,855,511,4
2005,124,630,858,480,2
2005,124,705,861,519,1
2005,124,1038,865,566,11
2005,209,332,1268,402,0
2005,209,630,1288,364,1
2005,209,705,1303,406,1
2005,209,1038,1334,464,0
2005,332,630,1909,430,6
2005,332,705,1942,467,2
2005,332,1038,1983,533,0
2005,630,705,3084,420,0
2005,630,1038,3099,485,2
2005,705,1038,3368,528,1
2006,88,125,637,564,2
2006,88,193,638,678,2
2006,88,210,649,467,1
2006,88,333,664,553,0
2006,88,631,696,490,0
2006,88,706,709,508,0
2006,88,1027,743,763,0
2006,88,1039,754,563,0
2006,125,193,850,742,2
2006,125,210,853,556,1
2006,125,333,856,622,4
2006,125,631,859,570,0
2006,125,706,862,594,0
2006,125,1027,863,796,5
2006,125,1039,866,616,5
2006,193,210,1152,648,3
2006,193,333,1170,742,1
2006,193,631,1187,669,5
2006,193,706,1214,693,0
2006,193,1027,1243,916,7
2006,193,1039,1251,748,2
2006,210,333,1269,539,0
2006,210,631,1289,448,0
2006,210,706,1304,475,1
2006,210,1027,1323,737,4
2006,210,1039,1335,535,0
2006,333,631,1910,541,2
2006,333,706,1943,580,0
2006,333,1027,1974,799,3
2006,333,1039,1984,625,0
2006,631,706,3085,498,2
2006,631,1027,3092,745,3
2006,631,1039,3100,557,2
2006,706,1027,3357,776,0
2006,706,1039,3369,582,0
2006,1027,1039,3861,794,7
2007,89,194,639,295,1
2007,89,211,650,240,1
2007,89,334,665,276,0
2007,89,632,697,223,1
2007,89,707,710,228,2
2007,89,1028,744,379,0
2007,89,1040,755,280,0
2007,194,211,1153,339,6
2007,194,334,1171,362,2
2007,194,632,1188,314,2
2007,194,707,1215,335,0
2007,194,1028,1244,462,3
2007,194,1040,1252,359,4
2007,211,334,1270,313,1
2007,211,632,1290,256,1
2007,211,707,1305,285,0
2007,211,1028,1324,407,2
2007,211,1040,1336,318,0
2007,334,632,1911,289,1
2007,334,707,1944,319,1
2007,334,1028,1975,445,0
2007,334,1040,1985,348,0
2007,632,707,3086,262,0
2007,632,1028,3093,387,2
2007,632,1040,3101,291,0
2007,707,1028,3358,416,1
2007,707,1040,3370,314,0
2007,1028,1040,3862,431,7
2008,90,195,640,357,2
2008,90,212,651,249,0
2008,90,335,666,262,0
2008,90,633,698,230,0
2008,90,708,711,230,1
2008,90,1029,745,362,0
2008,90,1041,756,274,1
2008,195,212,1154,392,4
2008,195,335,1172,418,2
2008,195,633,1189,370,1
2008,195,708,1216,394,0
2008,195,1029,1245,508,3
2008,195,1041,1253,420,2
2008,212,335,1271,310,1
2008,212,633,1291,271,2
2008,212,708,1306,284,0
2008,212,1029,1325,391,2
2008,212,1041,1337,309,1
2008,335,633,1912,277,0
2008,335,708,1945,294,0
2008,335,1029,1976,417,2
2008,335,1041,1986,339,0
2008,633,708,3087,258,0
2008,633,1029,3094,370,0
2008,633,1041,3102,297,0
2008,708,1029,3359,387,0
2008,708,1041,3371,311,1
2008,1029,1041,3863,415,0
2009,91,196,641,395,1
2009,91,213,652,316,1
2009,91,265,656,392,1
2009,91,336,667,327,0
2009,91,452,678,303,2
2009,91,634,699,168,0
2009,91,709,712,328,0
2009,91,1013,732,374,0
2009,91,1030,746,419,0
2009,91,1042,757,344,0
2009,196,213,1155,396,4
2009,196,265,1160,478,4
2009,196,336,1173,431,0
2009,196,452,1183,413,0
2009,196,634,1190,221,0
2009,196,709,1217,430,2
2009,196,1013,1236,467,1
2009,196,1030,1246,517,0
2009,196,1042,1254,443,2
2009,213,265,1260,408,5
2009,213,336,1272,358,0
2009,213,452,1279,334,0
2009,213,634,1292,163,0
2009,213,709,1307,361,0
2009,213,1013,1318,394,0
2009,213,1030,1326,441,1
2009,213,1042,1338,364,1
2009,265,336,1559,415,0
2009,265,452,1570,411,1
2009,265,634,1574,229,0
2009,265,709,1602,434,0
2009,265,1013,1623,461,3
2009,265,1030,1630,513,3
2009,265,1042,1635,442,0
2009,336,452,1904,341,1
2009,336,634,1913,189,1
2009,336,709,1946,368,0
2009,336,1013,1967,395,0
2009,336,1030,1977,445,1
2009,336,1042,1987,369,0
2009,452,634,2548,175,0
2009,452,709,2553,348,0
2009,452,1013,2571,387,2
2009,452,1030,2582,440,2
2009,452,1042,2586,367,0
2009,634,709,3088,183,0
2009,634,1013,3091,208,0
2009,634,1030,3095,223,0
2009,634,1042,3103,188,0
2009,709,1013,3350,405,1
2009,709,1030,3360,461,1
2009,709,1042,3372,381,1
2009,1013,1030,3850,480,1
2009,1013,1042,3855,418,3
2009,1030,1042,3864,462,3
2010,92,197,642,174,1
2010,92,214,653,138,0
2010,92,266,657,162,0
2010,92,337,668,129,0
2010,92,453,679,123,0
2010,92,635,700,139,0
2010,92,710,713,106,0
2010,92,1014,733,152,0
2010,92,1031,747,177,0
2010,92,1043,758,130,0
2010,197,214,1156,222,1
2010,197,266,1161,234,4
2010,197,337,1174,215,1
2010,197,453,1184,198,0
2010,197,635,1191,228,0
2010,197,710,1218,188,0
2010,197,1014,1237,241,0
2010,197,1031,1247,265,0
2010,197,1043,1255,215,0
2010,214,266,1261,207,1
2010,214,337,1273,174,0
2010,214,453,1280,165,0
2010,214,635,1293,187,0
2010,214,710,1308,152,0
2010,214,1014,1319,205,0
2010,214,1031,1327,232,1
2010,214,1043,1339,171,1
2010,266,337,1560,197,0
2010,266,453,1571,178,0
2010,266,635,1575,203,1
2010,266,710,1603,171,0
2010,266,1014,1624,225,0
2010,266,1031,1631,242,2
2010,266,1043,1636,196,0
2010,337,453,1905,146,0
2010,337,635,1914,176,0
2010,337,710,1947,140,0
2010,337,1014,1968,191,2
2010,337,1031,1978,211,0
2010,337,1043,1988,162,0
2010,453,635,2549,168,1
2010,453,710,2554,136,0
2010,453,1014,2572,186,0
2010,453,1031,2583,202,0
2010,453,1043,2587,156,0
2010,635,710,3121,156,0
2010,635,1014,3141,203,0
2010,635,1031,3147,224,1
2010,635,1043,3151,178,1
2010,710,1014,3351,163,0
2010,710,1031,3361,193,0
2010,710,1043,3373,141,0
2010,1014,1031,3851,246,1
2010,1014,1043,3856,188,1
2010,1031,1043,3865,212,0
2011,93,198,643,124,0
2011,93,215,654,114,0
2011,93,267,658,122,0
2011,93,338,669,110,0
2011,93,454,680,94,3
2011,93,636,701,97,0
2011,93,711,714,86,0
2011,93,847,719,108,1
2011,93,1015,734,105,0
2011,93,1032,748,133,0
2011,93,1044,759,105,0
2011,198,215,1157,158,4
2011,198,267,1162,172,2
2011,198,338,1175,158,0
2011,198,454,1185,145,0
2011,198,636,1192,155,0
2011,198,711,1219,134,0
2011,198,847,1234,168,0
2011,198,1015,1238,152,0
2011,198,1032,1248,192,1
2011,198,1044,1256,144,1
2011,215,267,1262,162,1
2011,215,338,1274,145,0
2011,215,454,1281,134,0
2011,215,636,1294,142,0
2011,215,711,1309,123,0
2011,215,847,1314,156,1
2011,215,1015,1320,145,0
2011,215,1032,1328,183,0
2011,215,1044,1340,137,0
2011,267,338,1561,162,0
2011,267,454,1572,143,0
2011,267,636,1576,149,1
2011,267,711,1604,133,0
2011,267,847,1621,165,0
2011,267,1015,1625,157,0
2011,267,1032,1632,190,0
2011,267,1044,1637,144,0
2011,338,454,1906,129,0
2011,338,636,1915,142,1
2011,338,711,1948,117,0
2011,338,847,1965,148,0
2011,338,1015,1969,140,1
2011,338,1032,1979,173,1
2011,338,1044,1989,127,1
2011,454,636,2550,119,1
2011,454,711,2555,99,1
2011,454,847,2560,133,0
2011,454,1015,2573,124,0
2011,454,1032,2584,158,0
2011,454,1044,2588,114,0
2011,636,711,3122,110,0
2011,636,847,3139,145,0
2011,636,1015,3142,127,0
2011,636,1032,3148,165,0
2011,636,1044,3152,121,0
2011,711,847,3346,122,0
2011,711,1015,3352,112,0
2011,711,1032,3362,148,1
2011,711,1044,3374,103,0
2011,847,1015,3656,143,1
2011,847,1032,3665,181,0
2011,847,1044,3667,132,0
2011,1015,1032,3852,162,1
2011,1015,1044,3857,125,0
2011,1032,1044,3866,159,1
2012,94,199,644,99,0
2012,94,216,655,109,0
2012,94,268,659,88,0
2012,94,339,670,91,1
2012,94,455,681,72,2
2012,94,637,702,101,0
2012,94,677,703,112,0
2012,94,712,715,85,0
2012,94,731,716,103,0
2012,94,848,720,89,0
2012,94,1016,735,110,0
2012,94,1033,749,134,0
2012,94,1045,760,111,0
2012,199,216,1158,326,3
2012,199,268,1163,322,8
2012,199,339,1176,270,0
2012,199,455,1186,82,0
2012,199,637,1193,299,0
2012,199,677,1202,292,2
2012,199,712,1220,247,1
2012,199,731,1227,275,5
2012,199,848,1235,104,0
2012,199,1016,1239,281,1
2012,199,1033,1249,334,1
2012,199,1045,1257,296,0
2012,216,268,1263,337,4
2012,216,339,1275,282,1
2012,216,455,1282,88,0
2012,216,637,1295,308,1
2012,216,677,1297,302,0
2012,216,712,1310,253,0
2012,216,731,1312,286,2
2012,216,848,1315,109,0
2012,216,1016,1321,292,0
2012,216,1033,1329,344,0
2012,216,1045,1341,304,0
2012,268,339,1562,275,0
2012,268,455,1573,76,0
2012,268,637,1577,312,1
2012,268,677,1588,298,0
2012,268,712,1605,261,0
2012,268,731,1613,295,0
2012,268,848,1622,96,0
2012,268,1016,1626,290,1
2012,268,1033,1633,351,1
2012,268,1045,1638,308,1
2012,339,455,1907,76,1
2012,339,637,1916,250,0
2012,339,677,1927,241,1
2012,339,712,1949,201,0
2012,339,731,1957,234,1
2012,339,848,1966,96,0
2012,339,1016,1970,229,0
2012,339,1033,1980,292,0
2012,339,1045,1990,249,0
2012,455,637,2551,83,1
2012,455,677,2552,95,1
2012,455,712,2556,68,0
2012,455,731,2557,90,0
2012,455,848,2561,80,0
2012,455,1016,2574,94,0
2012,455,1033,2585,117,0
2012,455,1045,2589,98,0
2012,637,677,3107,267,3
2012,637,712,3123,229,0
2012,637,731,3131,258,1
2012,637,848,3140,104,0
2012,637,1016,3143,256,0
2012,637,1033,3149,313,2
2012,637,1045,3153,265,3
2012,677,712,3266,221,1
2012,677,731,3274,242,2
2012,677,848,3282,115,0
2012,677,1016,3283,250,0
2012,677,1033,3287,311,1
2012,677,1045,3289,268,0
2012,712,731,3338,212,1
2012,712,848,3347,91,0
2012,712,1016,3353,206,0
2012,712,1033,3363,272,0
2012,712,1045,3375,227,0
2012,731,848,3431,108,0
2012,731,1016,3432,244,0
2012,731,1033,3435,297,1
2012,731,1045,3437,262,0
2012,848,1016,3657,110,0
2012,848,1033,3666,134,0
2012,848,1045,3668,116,1
2012,1016,1033,3853,295,2
2012,1016,1045,3858,252,1
2012,1033,1045,3867,308,1
2013,200,217,1159,70,1
2013,200,269,1164,266,6
2013,200,340,1177,250,0
2013,200,638,1194,277,2
2013,200,678,1203,244,1
2013,200,713,1221,266,1
2013,200,732,1228,275,1
2013,200,1017,1240,222,0
2013,200,1034,1250,60,1
2013,200,1046,1258,290,0
2013,217,269,1264,65,0
2013,217,340,1276,66,0
2013,217,638,1296,78,0
2013,217,678,1298,64,0
2013,217,713,1311,63,0
2013,217,732,1313,62,0
2013,217,1017,1322,66,0
2013,217,1034,1330,54,0
2013,217,1046,1342,63,0
2013,269,340,1563,235,0
2013,269,638,1578,258,0
2013,269,678,1589,236,0
2013,269,713,1606,252,0
2013,269,732,1614,259,1
2013,269,1017,1627,208,1
2013,269,1034,1634,53,0
2013,269,1046,1639,276,0
2013,340,638,1917,240,0
2013,340,678,1928,210,0
2013,340,713,1950,230,0
2013,340,732,1958,247,1
2013,340,1017,1971,189,0
2013,340,1034,1981,55,0
2013,340,1046,1991,259,1
2013,638,678,3108,240,1
2013,638,713,3124,258,1
2013,638,732,3132,275,2
2013,638,1017,3144,214,0
2013,638,1034,3150,51,0
2013,638,1046,3154,277,1
2013,678,713,3267,228,0
2013,678,732,3275,244,0
2013,678,1017,3284,190,0
2013,678,1034,3288,49,0
2013,678,1046,3290,255,0
2013,713,732,3339,271,0
2013,713,1017,3354,204,0
2013,713,1034,3364,48,0
2013,713,1046,3376,263,2
2013,732,1017,3433,221,2
2013,732,1034,3436,57,0
2013,732,1046,3438,293,1
2013,1017,1034,3854,56,1
2013,1017,1046,3859,228,4
2013,1034,1046,3868,45,1
2014,201,270,1165,579,14
2014,201,341,1178,503,1
2014,201,639,1195,556,2
2014,201,679,1204,522,0
2014,201,696,1209,553,3
2014,201,714,1222,516,0
2014,201,733,1229,544,9
2014,201,1018,1241,505,2
2014,201,1047,1259,456,0
2014,270,341,1564,467,0
2014,270,639,1579,524,0
2014,270,679,1590,490,1
2014,270,696,1596,518,8
2014,270,714,1607,478,0
2014,270,733,1615,511,3
2014,270,1018,1628,463,0
2014,270,1047,1640,423,1
2014,341,639,1918,426,1
2014,341,679,1929,385,1
2014,341,696,1935,442,0
2014,341,714,1951,378,0
2014,341,733,1959,450,1
2014,341,1018,1972,366,1
2014,341,1047,1992,340,0
2014,639,679,3109,452,2
2014,639,696,3115,492,0
2014,639,714,3125,444,0
2014,639,733,3133,500,0
2014,639,1018,3145,420,1
2014,639,1047,3155,399,3
2014,679,696,3260,454,0
2014,679,714,3268,402,1
2014,679,733,3276,465,2
2014,679,1018,3285,387,1
2014,679,1047,3291,373,1
2014,696,714,3323,449,0
2014,696,733,3329,492,5
2014,696,1018,3335,424,1
2014,696,1047,3337,398,1
2014,714,733,3340,451,0
2014,714,1018,3355,377,0
2014,714,1047,3377,359,0
2014,733,1018,3434,445,1
2014,733,1047,3439,425,0
2014,1018,1047,3860,345,0
2015,202,271,1166,124,5
2015,202,342,1179,109,0
2015,202,640,1196,114,0
2015,202,680,1205,116,0
2015,202,697,1210,117,1
2015,202,715,1223,109,0
2015,202,765,1230,109,1
2015,202,1019,1242,115,0
2015,271,342,1565,98,0
2015,271,640,1580,106,0
2015,271,680,1591,107,0
2015,271,697,1597,115,1
2015,271,715,1608,102,0
2015,271,765,1616,98,0
2015,271,1019,1629,106,0
2015,342,640,1919,84,1
2015,342,680,1930,74,1
2015,342,697,1936,86,0
2015,342,715,1952,74,0
2015,342,765,1960,79,0
2015,342,1019,1973,87,0
2015,640,680,3110,90,0
2015,640,697,3116,97,0
2015,640,715,3126,90,0
2015,640,765,3134,84,0
2015,640,1019,3146,89,1
2015,680,697,3261,97,0
2015,680,715,3269,82,0
2015,680,765,3277,82,1
2015,680,1019,3286,91,0
2015,697,715,3324,90,0
2015,697,765,3330,91,0
2015,697,1019,3336,93,0
2015,715,765,3341,81,0
2015,715,1019,3356,89,0
2015,765,1019,3466,88,0
2016,3,203,20,23,0
2016,3,272,21,17,0
2016,3,343,22,15,1
2016,3,641,23,21,0
2016,3,681,24,16,0
2016,3,698,25,19,0
2016,3,716,26,24,0
2016,3,766,27,13,0
2016,203,272,1167,68,1
2016,203,343,1180,57,0
2016,203,641,1197,66,0
2016,203,681,1206,57,0
2016,203,698,1211,61,1
2016,203,716,1224,73,0
2016,203,766,1231,54,0
2016,272,343,1566,51,0
2016,272,641,1581,61,0
2016,272,681,1592,50,0
2016,272,698,1598,56,1
2016,272,716,1609,66,0
2016,272,766,1617,47,0
2016,343,641,1920,50,0
2016,343,681,1931,37,0
2016,343,698,1937,42,0
2016,343,716,1953,49,0
2016,343,766,1961,33,0
2016,641,681,3111,51,0
2016,641,698,3117,56,0
2016,641,716,3127,63,0
2016,641,766,3135,45,0
2016,681,698,3262,45,0
2016,681,716,3270,52,0
2016,681,766,3278,34,1
2016,698,716,3325,59,1
2016,698,766,3331,39,0
2016,716,766,3342,47,1
2017,204,273,1168,98,1
2017,204,344,1181,99,0
2017,204,642,1198,113,1
2017,204,674,1200,124,0
2017,204,682,1207,78,0
2017,204,699,1212,106,2
2017,204,717,1225,116,0
2017,204,767,1232,85,0
2017,273,344,1567,90,0
2017,273,642,1582,104,0
2017,273,674,1585,111,0
2017,273,682,1593,68,0
2017,273,699,1599,98,0
2017,273,717,1610,104,0
2017,273,767,1618,75,0
2017,344,642,1921,101,0
2017,344,674,1924,110,0
2017,344,682,1932,65,0
2017,344,699,1938,97,0
2017,344,717,1954,103,0
2017,344,767,1962,73,0
2017,642,674,3104,123,1
2017,642,682,3112,81,0
2017,642,699,3118,105,0
2017,642,717,3128,113,0
2017,642,767,3136,86,0
2017,674,682,3248,88,0
2017,674,699,3251,110,0
2017,674,717,3254,122,0
2017,674,767,3257,96,0
2017,682,699,3263,75,0
2017,682,717,3271,80,0
2017,682,767,3279,49,0
2017,699,717,3326,111,0
2017,699,767,3332,81,0
2017,717,767,3343,88,0
2018,205,274,1169,74,1
2018,205,345,1182,72,0
2018,205,643,1199,72,0
2018,205,675,1201,70,0
2018,205,683,1208,75,1
2018,205,700,1213,70,0
2018,205,718,1226,77,0
2018,205,768,1233,75,0
2018,274,345,1568,85,0
2018,274,643,1583,90,0
2018,274,675,1586,82,0
2018,274,683,1594,92,0
2018,274,700,1600,84,0
2018,274,718,1611,97,0
2018,274,768,1619,89,0
2018,345,643,1922,86,0
2018,345,675,1925,75,0
2018,345,683,1933,84,2
2018,345,700,1939,79,0
2018,345,718,1955,92,0
2018,345,768,1963,84,0
2018,643,675,3105,76,0
2018,643,683,3113,94,1
2018,643,700,3119,87,0
2018,643,718,3129,95,0
2018,643,768,3137,89,0
2018,675,683,3249,83,1
2018,675,700,3252,72,0
2018,675,718,3255,81,1
2018,675,768,3258,77,0
2018,683,700,3264,86,0
2018,683,718,3272,97,0
2018,683,768,3280,89,0
2018,700,718,3327,89,0
2018,700,768,3333,85,0
2018,718,768,3344,93,0
2019,275,346,1569,89,0
2019,275,644,1584,84,1
2019,275,676,1587,70,0
2019,275,684,1595,52,0
2019,275,701,1601,71,1
2019,275,719,1612,70,0
2019,275,769,1620,57,0
2019,346,644,1923,105,0
2019,346,676,1926,103,0
2019,346,684,1934,83,0
